,stdDay,gubun,deathCnt
560,2020년 04월 02일 00시,부산,3.0
561,2020년 04월 02일 00시,대구,117.0
562,2020년 04월 02일 00시,인천,0.0
563,2020년 04월 02일 00시,광주,0.0
564,2020년 04월 02일 00시,대전,0.0
565,2020년 04월 02일 00시,울산,1.0
566,2020년 04월 02일 00시,세종,0.0
567,2020년 04월 02일 00시,경기,6.0
568,2020년 04월 02일 00시,강원,1.0
569,2020년 04월 02일 00시,충북,0.0
570,2020년 04월 02일 00시,충남,0.0
571,2020년 04월 02일 00시,전북,0.0
572,2020년 04월 02일 00시,전남,0.0
573,2020년 04월 02일 00시,경북,41.0
574,2020년 04월 02일 00시,경남,0.0
575,2020년 04월 02일 00시,제주,0.0
576,2020년 04월 02일 00시,검역,0.0
577,2020년 04월 03일 00시,합계,174.0
578,2020년 04월 03일 00시,서울,0.0
579,2020년 04월 03일 00시,부산,3.0
580,2020년 04월 03일 00시,대구,121.0
581,2020년 04월 03일 00시,인천,0.0
582,2020년 04월 03일 00시,광주,0.0
583,2020년 04월 03일 00시,대전,0.0
584,2020년 04월 03일 00시,울산,1.0
585,2020년 04월 03일 00시,세종,0.0
586,2020년 04월 03일 00시,경기,6.0
587,2020년 04월 03일 00시,강원,1.0
588,2020년 04월 03일 00시,충북,0.0
589,2020년 04월 03일 00시,충남,0.0
590,2020년 04월 03일 00시,전북,0.0
591,2020년 04월 03일 00시,전남,0.0
592,2020년 04월 03일 00시,경북,42.0
593,2020년 04월 03일 00시,경남,0.0
594,2020년 04월 03일 00시,제주,0.0
595,2020년 04월 03일 00시,검역,0.0
596,2020년 04월 04일 00시,합계,177.0
597,2020년 04월 04일 00시,서울,0.0
598,2020년 04월 04일 00시,부산,3.0
599,2020년 04월 04일 00시,대구,122.0
600,2020년 04월 04일 00시,인천,0.0
601,2020년 04월 04일 00시,광주,0.0
602,2020년 04월 04일 00시,대전,0.0
603,2020년 04월 04일 00시,울산,1.0
604,2020년 04월 04일 00시,세종,0.0
605,2020년 04월 04일 00시,경기,6.0
606,2020년 04월 04일 00시,강원,1.0
607,2020년 04월 04일 00시,충북,0.0
608,2020년 04월 04일 00시,충남,0.0
609,2020년 04월 04일 00시,전북,0.0
610,2020년 04월 04일 00시,전남,0.0
611,2020년 04월 04일 00시,경북,44.0
612,2020년 04월 04일 00시,경남,0.0
613,2020년 04월 04일 00시,제주,0.0
614,2020년 04월 04일 00시,검역,0.0
615,2020년 04월 05일 00시,합계,183.0
616,2020년 04월 05일 00시,서울,0.0
617,2020년 04월 05일 00시,부산,3.0
618,2020년 04월 05일 00시,대구,127.0
619,2020년 04월 05일 00시,인천,0.0
620,2020년 04월 05일 00시,광주,0.0
621,2020년 04월 05일 00시,대전,0.0
622,2020년 04월 05일 00시,울산,1.0
623,2020년 04월 05일 00시,세종,0.0
624,2020년 04월 05일 00시,경기,7.0
625,2020년 04월 05일 00시,강원,1.0
626,2020년 04월 05일 00시,충북,0.0
627,2020년 04월 05일 00시,충남,0.0
628,2020년 04월 05일 00시,전북,0.0
629,2020년 04월 05일 00시,전남,0.0
630,2020년 04월 05일 00시,경북,44.0
631,2020년 04월 05일 00시,경남,0.0
