,loc_sido,loc_gun,cnt_hos,bed,remain_bed,pop,nurse,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
185,충청남도,논산시,1.0,3.0,0.0,119707.0,10.0,38586,10461,8133,6433,5719,4582,3258,39594.0,89.55529411764707
186,충청남도,당진시,1.0,47.0,1.0,168955.0,4.0,40444,11472,8328,6983,5667,4730,3264,56492.0,82.05588235294118
187,충청남도,보령시,1.0,0.0,0.0,99088.0,2.0,33363,8932,7284,5975,4812,3747,2613,26201.0,65.58058823529412
188,충청남도,부여군,1.0,3.0,0.0,64207.0,3.0,27601,6790,5489,4709,4304,3585,2724,15841.0,65.67941176470588
189,충청남도,서산시,2.0,156.0,7.0,176379.0,1.0,42914,12384,8790,7418,6021,4701,3600,55802.0,88.71823529411765
190,충청남도,서천군,1.0,0.0,0.0,51039.0,4.0,22686,5096,4611,4081,3593,3033,2272,13303.0,64.49588235294118
191,충청남도,아산시,1.0,11.0,0.0,340518.0,7.0,56974,17835,12360,9541,7630,5770,3838,114011.0,144.61352941176472
192,충청남도,천안시,4.0,148.0,25.0,682199.0,18.0,104756,37496,23523,16507,12452,8917,5861,238802.0,326.23
193,충청남도,청양군,1.0,1.0,0.0,30103.0,2.0,13460,3225,2627,2269,2084,1888,1367,7225.0,63.711176470588235
194,충청남도,태안군,1.0,1.0,0.0,60901.0,1.0,24253,6226,5155,4577,3787,2615,1893,15745.0,63.711176470588235
195,충청남도,홍성군,1.0,96.0,9.0,102757.0,3.0,30056,7728,6263,5199,4434,3736,2696,32000.0,71.84176470588235
196,충청북도,단양군,0.0,0.0,0.0,27640.0,1.0,11604,3381,2485,1937,1751,1278,772,6855.0,63.709411764705884
197,충청북도,보은군,0.0,0.0,0.0,31543.0,3.0,13882,3572,2799,2213,2135,1834,1329,8794.0,63.709411764705884
198,충청북도,영동군,1.0,0.0,0.0,47016.0,3.0,18520,4785,3854,3135,3039,2290,1417,11680.0,63.711176470588235
199,충청북도,옥천군,1.0,3.0,0.0,48868.0,3.0,18610,4984,4047,3121,2822,2073,1563,13798.0,63.711176470588235
200,충청북도,음성군,0.0,0.0,0.0,103725.0,2.0,25642,7972,5653,3938,3582,2659,1838,29266.0,63.709411764705884
201,충청북도,제천시,2.0,32.0,3.0,134768.0,6.0,39959,12590,9246,6191,5764,3910,2258,42422.0,69.07588235294118
202,충청북도,증평군,0.0,0.0,0.0,37183.0,1.0,8734,2788,1954,1337,1225,887,543,15155.0,63.709411764705884
203,충청북도,진천군,1.0,67.0,17.0,89514.0,1.0,18410,5699,4030,2787,2445,2112,1337,34557.0,76.02058823529411
204,충청북도,청주시,7.0,445.0,73.0,855326.0,14.0,162294,56336,37220,25076,20488,14104,9070,297157.0,404.4723529411765
205,충청북도,충주시,2.0,149.0,7.0,218412.0,7.0,56705,17786,12505,8581,8180,6001,3652,69701.0,144.27411764705883
