,loc_sido,loc_gun,bed,pop,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
164,전라남도,장성군,1.0,41443.0,15193,3484,2821,2772,2626,2122,1368,11006.0,42.1622614947631
165,전라남도,장흥군,2.0,35273.0,15126,3432,2731,2609,2498,2210,1646,10430.0,33.79844029479527
166,전라남도,진도군,1.0,29297.0,12107,2796,2099,2176,2280,1740,1016,7023.0,41.07822533498067
167,전라남도,함평군,0.0,30156.0,13251,2932,2412,2380,2370,1959,1198,7716.0,38.41132277069932
168,전라남도,해남군,49.0,65223.0,26361,6259,4945,4776,4598,3574,2209,18130.0,57.15958050622387
169,전라남도,화순군,19.0,60247.0,19817,4895,3615,3413,3511,2701,1682,20697.0,46.16114645283599
170,전라북도,고창군,1.0,52608.0,22258,5069,4031,4035,3935,3052,2136,14129.0,45.71312057085715
171,전라북도,군산시,327.0,269023.0,66642,20325,15262,12404,9073,5756,3822,84684.0,189.46467057312782
172,전라북도,김제시,1.0,79733.0,31085,7462,6078,5622,4995,3919,3009,23731.0,52.84935767423896
173,전라북도,남원시,5.0,78097.0,27698,6777,5516,5054,4358,3480,2513,24797.0,51.74994896935878
174,전라북도,부안군,3.0,49326.0,20696,4872,4075,3869,3381,2673,1826,13629.0,47.90170791607842
175,전라북도,순창군,1.0,26598.0,11155,2545,1984,1986,2004,1644,992,6624.0,37.90520504395854
176,전라북도,완주군,0.0,95834.0,26239,7164,5601,4717,3846,2935,1976,32444.0,59.59537883080232
177,전라북도,익산시,19.0,285312.0,73288,22305,16234,13016,9970,6938,4825,89173.0,142.53756012042822
178,전라북도,임실군,1.0,26075.0,11509,2513,2048,2107,1950,1726,1165,7342.0,34.155570179965345
179,전라북도,전주시,210.0,666517.0,136457,44015,31245,25037,17643,11518,6999,236635.0,289.5734263174679
180,전라북도,정읍시,0.0,106706.0,36539,8897,7062,6693,5937,4642,3308,31386.0,60.28788082873795
181,제주특별자치도,제주시,170.0,492306.0,96682,31190,21025,16203,12577,8992,6695,173609.0,180.81763222456118
182,충청남도,계룡시,0.0,40854.0,7328,2577,1770,1114,818,600,449,14712.0,42.85314361378816
183,충청남도,공주시,119.0,108333.0,34676,9645,7467,5762,4985,3990,2827,29844.0,80.55719923037708
184,충청남도,금산군,0.0,53758.0,19743,5009,4177,3409,3083,2466,1599,14451.0,50.056792395433234
185,충청남도,논산시,3.0,119707.0,38586,10461,8133,6433,5719,4582,3258,39594.0,62.17757703412242
186,충청남도,당진시,47.0,168955.0,40444,11472,8328,6983,5667,4730,3264,56492.0,71.54258777836336
187,충청남도,보령시,0.0,99088.0,33363,8932,7284,5975,4812,3747,2613,26201.0,70.11696284448749
188,충청남도,부여군,3.0,64207.0,27601,6790,5489,4709,4304,3585,2724,15841.0,48.34488741985591
189,충청남도,서산시,156.0,176379.0,42914,12384,8790,7418,6021,4701,3600,55802.0,93.96355237510812
190,충청남도,서천군,0.0,51039.0,22686,5096,4611,4081,3593,3033,2272,13303.0,44.273071178057826
191,충청남도,아산시,11.0,340518.0,56974,17835,12360,9541,7630,5770,3838,114011.0,114.40764513052744
192,충청남도,천안시,148.0,682199.0,104756,37496,23523,16507,12452,8917,5861,238802.0,218.10039105288018
193,충청남도,청양군,1.0,30103.0,13460,3225,2627,2269,2084,1888,1367,7225.0,36.340915273913666
194,충청남도,태안군,1.0,60901.0,24253,6226,5155,4577,3787,2615,1893,15745.0,63.796573313204355
195,충청남도,홍성군,96.0,102757.0,30056,7728,6263,5199,4434,3736,2696,32000.0,65.15595906338149
196,충청북도,단양군,0.0,27640.0,11604,3381,2485,1937,1751,1278,772,6855.0,46.10290249757087
197,충청북도,보은군,0.0,31543.0,13882,3572,2799,2213,2135,1834,1329,8794.0,38.02069724698111
198,충청북도,영동군,0.0,47016.0,18520,4785,3854,3135,3039,2290,1417,11680.0,51.50089860208985
199,충청북도,옥천군,3.0,48868.0,18610,4984,4047,3121,2822,2073,1563,13798.0,52.147680778725686
200,충청북도,음성군,0.0,103725.0,25642,7972,5653,3938,3582,2659,1838,29266.0,66.85750738953023
201,충청북도,제천시,32.0,134768.0,39959,12590,9246,6191,5764,3910,2258,42422.0,95.45146950213947
202,충청북도,증평군,0.0,37183.0,8734,2788,1954,1337,1225,887,543,15155.0,41.07760401914341
203,충청북도,진천군,67.0,89514.0,18410,5699,4030,2787,2445,2112,1337,34557.0,52.96643762827387
204,충청북도,청주시,445.0,855326.0,162294,56336,37220,25076,20488,14104,9070,297157.0,339.1362873479608
205,충청북도,충주시,149.0,218412.0,56705,17786,12505,8581,8180,6001,3652,69701.0,120.80256123610309
